Rank,State,Lok Sabha MPs,Lok Sabha Allocation (₹),Lok Sabha Valid Allocation Records,Lok Sabha Allocation (₹ Cr),Lok Sabha Average per Valid Record (₹ Cr),Rajya Sabha MPs,Rajya Sabha Allocation (₹),Rajya Sabha Valid Allocation Records,Rajya Sabha Allocation (₹ Cr),Rajya Sabha Average per Valid Record (₹ Cr),Combined MPs,Combined Allocation (₹),Combined Allocation (₹ Cr)
1,Uttar Pradesh,80,12111756374.81,80,1211.18,15.14,31,5670805833.97,31,567.08,18.29,111,17782562208.78,1778.26
2,Maharashtra,49,7342285090.940001,48,734.23,15.3,16,2082511557.33,16,208.25,13.02,65,9424796648.27,942.48
3,Bihar,40,5999462522.87,40,599.95,15.0,15,2514024157.4700003,15,251.4,16.76,55,8513486680.34,851.35
4,Tamil Nadu,39,6113560355.83,39,611.36,15.68,18,2263550547.7400002,18,226.36,12.58,57,8377110903.57,837.71
5,West Bengal,42,6391333259.29,42,639.13,15.22,11,1446162892.0,11,144.62,13.15,53,7837496151.29,783.75
6,Karnataka,28,4272103415.33,28,427.21,15.26,13,1917455968.0,13,191.75,14.75,41,6189559383.33,618.96
7,Madhya Pradesh,29,4430471672.8,29,443.05,15.28,9,1397746435.57,9,139.77,15.53,38,5828218108.37,582.82
8,Andhra Pradesh,25,4047877732.08,25,404.79,16.19,12,1497394969.1200001,12,149.74,12.48,37,5545272701.2,554.53
9,Kerala,20,3072391565.77,20,307.24,15.36,11,2131439062.1100001,11,213.14,19.38,31,5203830627.88,520.38
10,Rajasthan,25,3767573544.82,25,376.76,15.07,10,1372255828.44,10,137.23,13.72,35,5139829373.26,513.98
11,Gujarat,26,3846967459.4700003,26,384.7,14.8,8,1151500000.0,8,115.15,14.39,34,4998467459.47,499.85
12,Odisha,21,3288850789.98,21,328.89,15.66,8,1147776592.73,8,114.78,14.35,29,4436627382.71,443.66
13,Telangana,17,2896494722.3,17,289.65,17.04,6,980017044.22,6,98.0,16.33,23,3876511766.5200005,387.65
14,Punjab,12,1780626330.54,12,178.06,14.84,7,1356919670.91,7,135.69,19.38,19,3137546001.45,313.75
15,Jharkhand,14,2114316383.3500001,14,211.43,15.1,4,817281611.5799999,4,81.73,20.43,18,2931597994.9300003,293.16
16,Assam,14,2010300157.1100001,14,201.03,14.36,7,784127914.22,7,78.41,11.2,21,2794428071.33,279.44
17,Chhattisgarh,11,1671719691.53,11,167.17,15.2,5,786792289.86,5,78.68,15.74,16,2458511981.39,245.85
18,Haryana,10,1578454264.0,10,157.85,15.78,5,539000000.0,5,53.9,10.78,15,2117454264.0,211.75
19,Delhi,7,1117190622.0,7,111.72,15.96,4,565803496.11,4,56.58,14.15,11,1682994118.1100001,168.3
20,Uttarakhand,5,735000000.0,5,73.5,14.7,3,569873590.51,3,56.99,19.0,8,1304873590.51,130.49
21,Jammu And Kashmir,5,735000000.0,5,73.5,14.7,5,490063957.11,5,49.01,9.8,10,1225063957.1100001,122.51
22,Himachal Pradesh,4,629523041.33,4,62.95,15.74,3,403863957.11,3,40.39,13.46,7,1033386998.44,103.34
23,Puducherry,1,209368972.11,1,20.94,20.94,1,292881856.49,1,29.29,29.29,2,502250828.6,50.23
24,Goa,2,294000000.0,2,29.4,14.7,1,171500000.0,1,17.15,17.15,3,465500000.0,46.55
25,Tripura,2,294000000.0,2,29.4,14.7,1,122500000.0,1,12.25,12.25,3,416500000.0,41.65
26,The Dadra And Nagar Haveli And Daman And Diu,2,392063957.0,2,39.21,19.6,0,0.0,0,0.0,0.0,2,392063957.0,39.21
27,Nagaland,1,147000000.0,1,14.7,14.7,1,206563957.11,1,20.66,20.66,2,353563957.11,35.36
28,Arunachal Pradesh,2,294000000.0,2,29.4,14.7,1,49000000.0,1,4.9,4.9,3,343000000.0,34.3
29,Manipur,2,294000000.0,2,29.4,14.7,1,49000000.0,1,4.9,4.9,3,343000000.0,34.3
30,Chandigarh,1,178351443.75,1,17.84,17.84,1,147000000.0,1,14.7,14.7,2,325351443.75,32.54
31,Sikkim,1,152003923.11,1,15.2,15.2,1,150170726.11,1,15.02,15.02,2,302174649.22,30.22
32,Meghalaya,2,245000000.0,2,24.5,12.25,1,49000000.0,1,4.9,4.9,3,294000000.0,29.4
33,Mizoram,1,147000000.0,1,14.7,14.7,1,24500000.0,1,2.45,2.45,2,171500000.0,17.15
34,Ladakh,1,161114542.0,1,16.11,16.11,0,0.0,0,0.0,0.0,1,161114542.0,16.11
35,Lakshadweep,1,153942460.41,1,15.39,15.39,0,0.0,0,0.0,0.0,1,153942460.41,15.39
36,Andaman And Nicobar Islands,1,147000000.0,1,14.7,14.7,0,0.0,0,0.0,0.0,1,147000000.0,14.7
