sr_no,state,mp_name_raw,constituency,allocated_amount,house,state_key,elected_nominated,mp_name_clean,mp_key
1,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,190289442.0,LS,Maharashtra,,AASHTIKAR PATIL NAGESH BAPURAO,LS_AASHTIKAR PATIL NAGESH BAPURAO
2,Jammu And Kashmir,ABDUL RASHID SHEIKH,BARAMULLAH,147000000.0,LS,Jammu And Kashmir,,ABDUL RASHID SHEIKH,LS_ABDUL RASHID SHEIKH
3,Bihar,ABHAY KUMAR SINHA,AURANGABAD_BR,147000000.0,LS,Bihar,,ABHAY KUMAR SINHA,LS_ABHAY KUMAR SINHA
4,West Bengal,ABHIJIT GANGOPADHYAY,TAMLUK,147000000.0,LS,West Bengal,,ABHIJIT GANGOPADHYAY,LS_ABHIJIT GANGOPADHYAY
5,West Bengal,Abu Taher Khan,MURSHIDABAD,147000000.0,LS,West Bengal,,ABU TAHER KHAN,LS_ABU TAHER KHAN
6,West Bengal,ADHIKARI SOUMENDU,KANTHI,147000000.0,LS,West Bengal,,ADHIKARI SOUMENDU,LS_ADHIKARI SOUMENDU
7,Uttar Pradesh,ADITYA YADAV,BADAUN,147000000.0,LS,Uttar Pradesh,,ADITYA YADAV,LS_ADITYA YADAV
8,Kerala,Adv Adoor Prakash,ATTINGAL,147000000.0,LS,Kerala,,ADV ADOOR PRAKASH,LS_ADV ADOOR PRAKASH
9,Kerala,Adv Dean Kuriakose,IDUKKI,147000000.0,LS,Kerala,,ADV DEAN KURIAKOSE,LS_ADV DEAN KURIAKOSE
10,Maharashtra,ADV GOWAAL KAGADA PADAVI,NANDURBAR(ST),147816309.11,LS,Maharashtra,,ADV GOWAAL KAGADA PADAVI,LS_ADV GOWAAL KAGADA PADAVI
11,Kerala,ADV K FRANCIS GEORGE,KOTTAYAM,188722256.11,LS,Kerala,,ADV K FRANCIS GEORGE,LS_ADV K FRANCIS GEORGE
12,Uttar Pradesh,AFZAL ANSARI,GHAZIPUR,220500000.0,LS,Uttar Pradesh,,AFZAL ANSARI,LS_AFZAL ANSARI
13,Jammu And Kashmir,AGA SYED RUHULLAH MEHDI,SRINAGAR,147000000.0,LS,Jammu And Kashmir,,AGA SYED RUHULLAH MEHDI,LS_AGA SYED RUHULLAH MEHDI
14,Uttarakhand,Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,147000000.0,LS,Uttarakhand,,AJAY BHATT,LS_AJAY BHATT
15,Bihar,Ajay Kumar Mandal,BHAGALPUR,147000000.0,LS,Bihar,,AJAY KUMAR MANDAL,LS_AJAY KUMAR MANDAL
16,Uttarakhand,Ajay Tamta,ALMORA(SC),147000000.0,LS,Uttarakhand,,AJAY TAMTA,LS_AJAY TAMTA
17,Uttar Pradesh,AJENDRA SINGH LODHI,HAMIRPUR_UP,147000000.0,LS,Uttar Pradesh,,AJENDRA SINGH LODHI,LS_AJENDRA SINGH LODHI
18,Uttar Pradesh,AKHILESH YADAV,KANNAUJ,147000000.0,LS,Uttar Pradesh,,AKHILESH YADAV,LS_AKHILESH YADAV
