source_tag,calamity_type,calamity_name,mp_name_raw,mp_name_clean,consent_date,consent_amount,house,mp_key
DEDUPED,National Calamity,Flood 2025 in Punjab,Shri Hardeep Singh Puri (2020-26) (2020-2026),HARDEEP SINGH PURI,2025-11-17,10000000.0,RS,RS_HARDEEP SINGH PURI
DEDUPED,National Calamity,Flood 2025 in Punjab,Dr. Ashok Kumar Mittal (2022-28) (2022-2028),ASHOK KUMAR MITTAL,2025-11-04,10000000.0,RS,RS_ASHOK KUMAR MITTAL
DEDUPED,National Calamity,Flood 2025 in Punjab,Shri Narain Dass Gupta (2024-30) (2024-2030),NARAIN DASS GUPTA,2025-11-03,7500000.0,RS,RS_NARAIN DASS GUPTA
DEDUPED,National Calamity,Flood 2025 in Punjab,Shri Sanjay Singh (2024-30) (2024-2030),SANJAY SINGH,2025-11-03,10000000.0,RS,RS_SANJAY SINGH
DEDUPED,National Calamity,Flood 2025 in Punjab,Shri Harbhajan Singh (2022-28) (2022-2028),HARBHAJAN SINGH,2025-11-03,10000000.0,RS,RS_HARBHAJAN SINGH
DEDUPED,National Calamity,Flood 2025 in Punjab,Dr. Sandeep Kumar Pathak (2022-28) (2022-2028),SANDEEP KUMAR PATHAK,2025-10-29,10000000.0,RS,RS_SANDEEP KUMAR PATHAK
DEDUPED,National Calamity,Flood 2025 in Punjab,Dr. Parmar Jashvantsinh Salamsinh (2024-30) (2024-2030),PARMAR JASHVANTSINH SALAMSINH,2025-10-07,2500000.0,RS,RS_PARMAR JASHVANTSINH SALAMSINH
DEDUPED,National Calamity,Flood 2025 in Punjab,Shri Narain Dass Gupta (2024-30) (2024-2030),NARAIN DASS GUPTA,2025-10-06,2500000.0,RS,RS_NARAIN DASS GUPTA
DEDUPED,National Calamity,Flood 2025 in Punjab,Dr. Vikramjit Singh Sahney (2022-28) (2022-2028),VIKRAMJIT SINGH SAHNEY,2025-09-19,10000000.0,RS,RS_VIKRAMJIT SINGH SAHNEY
DEDUPED,National Calamity,Meppadi landslides 2024,Shri P. P. Suneer (2024-30) (2024-2030),P P SUNEER,2025-04-21,7500000.0,RS,RS_P P SUNEER
DEDUPED,National Calamity,Meppadi landslides 2024,Dr. John Brittas (2021-27) (2021-2027),JOHN BRITTAS,2025-02-17,7500000.0,RS,RS_JOHN BRITTAS
DEDUPED,National Calamity,Meppadi landslides 2024,Shri P. P. Suneer (2024-30) (2024-2030),P P SUNEER,2025-02-03,2500000.0,RS,RS_P P SUNEER
DEDUPED,State Calamity,Vilangad Landslides 2024,Shri Abdul Wahab (2021-27) (2021-2027),ABDUL WAHAB,2024-12-08,1000000.0,RS,RS_ABDUL WAHAB
DEDUPED,State Calamity,Wayanad landslides 2024,Smt. P. T. Usha (2022-28) (2022-2028),P T USHA,2024-12-07,500000.0,RS,RS_P T USHA
DEDUPED,State Calamity,Vilangad Landslides 2024,Smt. P. T. Usha (2022-28) (2022-2028),P T USHA,2024-12-07,500000.0,RS,RS_P T USHA
DEDUPED,State Calamity,Wayanad landslides 2024,Dr. V. Sivadasan (2021-27) (2021-2027),V SIVADASAN,2024-12-04,2500000.0,RS,RS_V SIVADASAN
DEDUPED,State Calamity,Wayanad landslides 2024,Shri A. A. Rahim (2022-28) (2022-2028),A A RAHIM,2024-12-04,2500000.0,RS,RS_A A RAHIM
DEDUPED,State Calamity,Wayanad landslides 2024,Shri Jose K. Mani (2024-30) (2024-2030),JOSE K MANI,2024-11-25,2500000.0,RS,RS_JOSE K MANI
DEDUPED,State Calamity,Wayanad landslides 2024,Shri Sandosh Kumar P (2022-28) (2022-2028),SANDOSH KUMAR P,2024-10-17,2500000.0,RS,RS_SANDOSH KUMAR P
DEDUPED,State Calamity,Wayanad landslides 2024,Dr. John Brittas (2021-27) (2021-2027),JOHN BRITTAS,2024-09-10,2500000.0,RS,RS_JOHN BRITTAS
