sr_no,state,work_raw,work_id_raw,ida_raw,mp_name_raw,constituency,expenditure_date_raw,vendor_raw,payment_status,fund_disbursed_amount,house,state_key,work_id,work_key,district_name,ida_key,mp_name_clean,mp_key,elected_nominated,expenditure_date,vendor_clean,vendor_id
1,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233777,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ATUL GARG,GHAZIABAD,21-Aug-2026,DARSH BUILDCON,Payment In-Progress,799146.0,LS,Uttar Pradesh,WS/MP18218/2025-2026/233777,LS|WS/MP18218/2025-2026/233777,Ghaziabad,GHAZIABAD,ATUL GARG,LS_ATUL GARG,,2026-08-21,DARSH BUILDCON,v_5402a69c6993
2,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233878,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ATUL GARG,GHAZIABAD,04-Aug-2026,DARSH BUILDCON,Payment In-Progress,832080.0,LS,Uttar Pradesh,WS/MP18218/2025-2026/233878,LS|WS/MP18218/2025-2026/233878,Ghaziabad,GHAZIABAD,ATUL GARG,LS_ATUL GARG,,2026-08-04,DARSH BUILDCON,v_5402a69c6993
3,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233781,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ATUL GARG,GHAZIABAD,04-Aug-2026,DARSH BUILDCON,Payment In-Progress,498309.0,LS,Uttar Pradesh,WS/MP18218/2025-2026/233781,LS|WS/MP18218/2025-2026/233781,Ghaziabad,GHAZIABAD,ATUL GARG,LS_ATUL GARG,,2026-08-04,DARSH BUILDCON,v_5402a69c6993
4,Odisha,Construction of community centers and community halls,WS/MP370/2024-2025/145537,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),31-Aug-2026,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,2000.0,LS,Odisha,WS/MP370/2024-2025/145537,LS|WS/MP370/2024-2025/145537,Sundaragada,SUNDARAGADA,JUAL ORAM,LS_JUAL ORAM,,2026-08-31,MEMBER SECY OB OC WWB BBSR,v_519501e26e4d
5,Odisha,Construction of community centers and community halls,WS/MP370/2025-2026/174610,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),07-Sep-2026,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,1962.0,LS,Odisha,WS/MP370/2025-2026/174610,LS|WS/MP370/2025-2026/174610,Sundaragada,SUNDARAGADA,JUAL ORAM,LS_JUAL ORAM,,2026-09-07,MEMBER SECY OB OC WWB BBSR,v_519501e26e4d
6,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18350/2025-2026/182265,BOUDH(District Collector Boudh_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,17-Aug-2026,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,3000.0,LS,Odisha,WS/MP18350/2025-2026/182265,LS|WS/MP18350/2025-2026/182265,Boudh,BOUDH,SUKANTA KUMAR PANIGRAHI,LS_SUKANTA KUMAR PANIGRAHI,,2026-08-17,MEMBER SECY OB OC WWB BBSR,v_519501e26e4d
7,Odisha,Construction of community centers and community halls,WS/MP18142/2025-2026/225283,JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA),BIBHU PRASAD TARAI,JAGATSINGHPUR(SC),01-Sep-2026,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,5000.0,LS,Odisha,WS/MP18142/2025-2026/225283,LS|WS/MP18142/2025-2026/225283,Jagatsinghapur,JAGATSINGHAPUR,BIBHU PRASAD TARAI,LS_BIBHU PRASAD TARAI,,2026-09-01,MEMBER SECY OB OC WWB BBSR,v_519501e26e4d
8,Karnataka,Construction of additional rooms and halls in the existing public and community building,WS/MP18082/2025-2026/242466,CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA),GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),31-Aug-2026,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,375000.0,LS,Karnataka,WS/MP18082/2025-2026/242466,LS|WS/MP18082/2025-2026/242466,Chitradurga,CHITRADURGA,GOVIND MAKTHAPPA KARJOL,LS_GOVIND MAKTHAPPA KARJOL,,2026-08-31,KRIDL BHUSIRI ACCOUNT WORKS,v_53fc6991546b
9,Madhya Pradesh,Construction of common work sheds/ common covered sitting area,WS/MP641/2025-2026/220322,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel,KHARGONE(ST),31-Aug-2026,NAGAR PALIKA PARISHAD BARWANI,Payment In-Progress,99254.0,LS,Madhya Pradesh,WS/MP641/2025-2026/220322,LS|WS/MP641/2025-2026/220322,Barwani,BARWANI,GAJENDRA SINGH PATEL,LS_GAJENDRA SINGH PATEL,,2026-08-31,NAGAR PALIKA PARISHAD BARWANI,v_94084116cac4
10,Karnataka,Construction of additional rooms and halls in the existing public and community building,WS/MP18091/2026-2027/159995,KODAGU(Deputy Commsioner Kodagu_ida),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,MYSORE,07-Sep-2026,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,300000.0,LS,Karnataka,WS/MP18091/2026-2027/159995,LS|WS/MP18091/2026-2027/159995,Kodagu,KODAGU,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,LS_YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,,2026-09-07,KRIDL BHUSIRI ACCOUNT WORKS,v_53fc6991546b
