work_key,work_id,house,state,state_key,mp_key,ida_key,district_name,vendor_tranche_count,n_vendors,total_fund_disbursed,first_expenditure_date,last_expenditure_date,any_success,any_in_progress
LS|WS/MP005/2025-2026/175387,WS/MP005/2025-2026/175387,LS,Gujarat,Gujarat,LS_DEVUSINH JESINGBHAI CHAUHAN,KHEDA,Kheda,1,1,50000.0,2026-09-07,2026-09-07,False,True
LS|WS/MP005/2025-2026/183135,WS/MP005/2025-2026/183135,LS,Gujarat,Gujarat,LS_DEVUSINH JESINGBHAI CHAUHAN,KHEDA,Kheda,1,1,450000.0,2026-04-10,2026-04-10,True,False
LS|WS/MP005/2025-2026/194320,WS/MP005/2025-2026/194320,LS,Gujarat,Gujarat,LS_DEVUSINH JESINGBHAI CHAUHAN,AHMEDABAD,Ahmedabad,1,1,299994.0,2026-06-30,2026-06-30,True,False
LS|WS/MP005/2025-2026/203627,WS/MP005/2025-2026/203627,LS,Gujarat,Gujarat,LS_DEVUSINH JESINGBHAI CHAUHAN,AHMEDABAD,Ahmedabad,1,1,149916.0,2026-07-27,2026-07-27,True,False
LS|WS/MP005/2025-2026/203632,WS/MP005/2025-2026/203632,LS,Gujarat,Gujarat,LS_DEVUSINH JESINGBHAI CHAUHAN,AHMEDABAD,Ahmedabad,1,1,99816.0,2026-07-27,2026-07-27,True,False
LS|WS/MP005/2025-2026/203730,WS/MP005/2025-2026/203730,LS,Gujarat,Gujarat,LS_DEVUSINH JESINGBHAI CHAUHAN,KHEDA,Kheda,1,1,200000.0,2026-09-07,2026-09-07,False,True
LS|WS/MP005/2025-2026/221702,WS/MP005/2025-2026/221702,LS,Gujarat,Gujarat,LS_DEVUSINH JESINGBHAI CHAUHAN,AHMEDABAD,Ahmedabad,1,1,399949.0,2026-06-30,2026-06-30,True,False
LS|WS/MP005/2025-2026/230214,WS/MP005/2025-2026/230214,LS,Gujarat,Gujarat,LS_DEVUSINH JESINGBHAI CHAUHAN,KHEDA,Kheda,1,1,450000.0,2026-07-02,2026-07-02,True,False
LS|WS/MP005/2025-2026/230419,WS/MP005/2025-2026/230419,LS,Gujarat,Gujarat,LS_DEVUSINH JESINGBHAI CHAUHAN,KHEDA,Kheda,1,1,200000.0,2026-08-17,2026-08-17,True,False
LS|WS/MP005/2025-2026/234492,WS/MP005/2025-2026/234492,LS,Gujarat,Gujarat,LS_DEVUSINH JESINGBHAI CHAUHAN,KHEDA,Kheda,1,1,200000.0,2026-08-17,2026-08-17,True,False
LS|WS/MP005/2025-2026/234549,WS/MP005/2025-2026/234549,LS,Gujarat,Gujarat,LS_DEVUSINH JESINGBHAI CHAUHAN,KHEDA,Kheda,1,1,400000.0,2026-06-30,2026-06-30,True,False
LS|WS/MP005/2025-2026/235886,WS/MP005/2025-2026/235886,LS,Gujarat,Gujarat,LS_DEVUSINH JESINGBHAI CHAUHAN,KHEDA,Kheda,1,1,149967.0,2026-07-02,2026-07-02,True,False
LS|WS/MP005/2025-2026/235888,WS/MP005/2025-2026/235888,LS,Gujarat,Gujarat,LS_DEVUSINH JESINGBHAI CHAUHAN,KHEDA,Kheda,1,1,250000.0,2026-09-01,2026-09-01,False,True
