work_key,work_id,house,state,state_key,district_name,ida_raw,ida_key,mp_name_raw,mp_name_clean,mp_key,constituency,elected_nominated,work_raw,work_category_raw,category_raw,category_nlp,work_description_raw,work_description_clean,recommended_date,sanction_date,completion_date,recommended_amount,sanction_amount,amount_disbursed,work_status,image_raw,source_stage,quarantine_reason,work_key_mode,work_key_source
wk_000b2eec8b98,,RS,Karnataka,Karnataka,Chikkamagaluru,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),CHIKKAMAGALURU,Shri Jairam Ramesh (2022-28) (2022-2028),JAIRAM RAMESH,RS_JAIRAM RAMESH,,Elected MP,Construction of community centers and community halls,Normal/Others,Normal/Others,,Construction of Community Hall at Abbinaholalu Village of Gowrapura Village Panchayath Kadur Tq,Construction of Community Hall at Abbinaholalu Village of Gowrapura Village Panchayath Kadur Tq,2025-02-28 00:00:00,,,500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_000b2eec8b98
wk_00138f18508f,,RS,Assam,Assam,Sivasagar,SIVASAGAR(Deputy Commissioner Sivsagar_IDA),SIVASAGAR,Shri Pabitra Margherita (2022-28) (2022-2028),PABITRA MARGHERITA,RS_PABITRA MARGHERITA,,Elected MP,Construction of community centers and community halls,Normal/Others,Normal/Others,,CONSTRUCTION OF DUPDOR KUKURACHOWA SANSKRITIK KENDRA,CONSTRUCTION OF DUPDOR KUKURACHOWA SANSKRITIK KENDRA,2026-01-27 00:00:00,,,300000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_00138f18508f
wk_0014c6672236,,RS,Tamil Nadu,Tamil Nadu,Thiruvallur,THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA),THIRUVALLUR,Shri R. Girirajan (2022-28) (2022-2028),R GIRIRAJAN,RS_R GIRIRAJAN,,Elected MP,Lighting of public spaces,Normal/Others,Normal/Others,,"Installation of mini-mast lighting (9 meters high, 150 W, 6 units) at Kammarapalayam, Thervazhi Panchayat, Gummidipoondi Union, Gummidipoondi Assembly Constituency, Thiruvallur District.","Installation of mini-mast lighting (9 meters high, 150 W, 6 units) at Kammarapalayam, Thervazhi Panchayat, Gummidipoondi Union, Gummidipoondi Assembly Constituency, Thiruvallur District.",2026-01-21 00:00:00,,,300000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_0014c6672236
wk_001909a10280,,LS,Maharashtra,Maharashtra,Dharashiv,Dharashiv(DISTRICT COLLECTOR OSMANABAD_IDA),DHARASHIV,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,OMPRAKASH BHUPALSINH ALIAS PAWAN RAJENIMBALKAR,LS_OMPRAKASH BHUPALSINH ALIAS PAWAN RAJENIMBALKAR,OSMANABAD,,Construction of community centers and community halls,Normal/Others,Normal/Others,,Construction of community centers in Gram Panchayat Owned Open Space (Milkat No. 58) here.,Construction of community centers in Gram Panchayat Owned Open Space (Milkat No. 58) here.,2024-10-01 00:00:00,,,700000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_001909a10280
wk_002f27ad822a,,RS,Assam,Assam,Jorhat,JORHAT(DEPUTY COMMISSIONER JORHAT_IDA),JORHAT,Shri Pabitra Margherita (2022-28) (2022-2028),PABITRA MARGHERITA,RS_PABITRA MARGHERITA,,Elected MP,Construction of community centers and community halls,Normal/Others,Normal/Others,,"Construction of Teok Rajohuwa Mukoli Mancha, Teok Chawdung Gaon","Construction of Teok Rajohuwa Mukoli Mancha, Teok Chawdung Gaon",2025-09-03 00:00:00,,,1000000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_002f27ad822a
wk_0074647524c3,,RS,Kerala,Kerala,Ernakulam,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),ERNAKULAM,Shri Jose K. Mani (2024-30) (2024-2030),JOSE K MANI,RS_JOSE K MANI,,Elected MP,Installing community drinking water plants,Normal/Others,Normal/Others,,Construction Mutholapuram Pulingunnumala- Vettiyodi Drinking Water Scheme (Cat : SC),Construction Mutholapuram Pulingunnumala- Vettiyodi Drinking Water Scheme (Cat : SC),2024-12-11 00:00:00,,,2500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_0074647524c3
wk_009aa0f7338f,,LS,Kerala,Kerala,Pathanamthitta,PATHANAMTHITTA(DISTRICT COLLECTOR PATHANAMTHITTA_IDA),PATHANAMTHITTA,Anto Antony,ANTO ANTONY,LS_ANTO ANTONY,PATHANAMTHITTA,,Lighting of public spaces,Normal/Others,Normal/Others,,Providing 8 Meter LED Mini Mast Light at Mandappuzha Puthuval Colony in Ranni- Perunadu Grama Panchayat.(SC),Providing 8 Meter LED Mini Mast Light at Mandappuzha Puthuval Colony in Ranni- Perunadu Grama Panchayat.(SC),2024-09-24 00:00:00,,,250000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_009aa0f7338f
wk_009c8188ba82,,RS,Karnataka,Karnataka,Tumakuru,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),TUMAKURU,Shri G.C. Chandrashekhar (2024-30) (2024-2030),G C CHANDRASHEKHAR,RS_G C CHANDRASHEKHAR,,Elected MP,Providing drains and gutters for public drainage,Normal/Others,Normal/Others,,"construction of drainage from shivabasavayyana home to anekere at Tumkur district, Tiptur taluk, Nonavinakere hobali, Nellikere grama panchayath, Burudeghatta village","construction of drainage from shivabasavayyana home to anekere at Tumkur district, Tiptur taluk, Nonavinakere hobali, Nellikere grama panchayath, Burudeghatta village",2025-01-28 00:00:00,,,500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_009c8188ba82
wk_00a03edc9abd,,LS,Uttar Pradesh,Uttar Pradesh,Amethi,Amethi(DISTRICT MAGISTRAE AMETHI_IDA),AMETHI,KISHORI LAL,KISHORI LAL,LS_KISHORI LAL,AMETHI,,Construction of rooms and halls in school and colleges,Normal/Others,Normal/Others,,"Release a total amount of Rs. 6,25,000(Six Lakh Twenty Five Thousands Only) from the MPLADS Fund as a contribution for the renovation, repair, reconstruction, and infrastructure facilities for Shri Nishad Raj Intermediate College, Kitiyawan, Block-Shahgarh, selected under Project Alankar.","Release a total amount of Rs. 6,25,000(Six Lakh Twenty Five Thousands Only) from the MPLADS Fund as a contribution for the renovation, repair, reconstruction, and infrastructure facilities for Shri Nishad Raj Intermediate College, Kitiyawan, Block-Shahgarh, selected under Project Alankar.",2024-10-08 00:00:00,,,625000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_00a03edc9abd
wk_010d7a77f299,,RS,Uttar Pradesh,Uttar Pradesh,Bahraich,BAHRAICH(DISTRICT MAGISTRAE BAHRAICH_IDA),BAHRAICH,Dr. Laxmikant Bajpayee (2022-28) (2022-2028),LAXMIKANT BAJPAYEE,RS_LAXMIKANT BAJPAYEE,,Elected MP,Construction of rooms and halls in school and colleges,Trust and Society,Trust and Society,,Constuction of classroom,Constuction of classroom,2025-05-15 00:00:00,,,580800.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_010d7a77f299
