rank,state,lok_sabha_mps,lok_sabha_allocation,lok_sabha_valid_allocation_records,lok_sabha_allocation_cr,lok_sabha_average_per_valid_record_cr,rajya_sabha_mps,rajya_sabha_allocation,rajya_sabha_valid_allocation_records,rajya_sabha_allocation_cr,rajya_sabha_average_per_valid_record_cr,combined_mps,combined_allocation,combined_allocation_cr,state_key
1,Uttar Pradesh,80,12111756374.81,80.0,1211.18,15.14,31,5670805833.97,31.0,567.08,18.29,111,17782562208.78,1778.26,Uttar Pradesh
2,Maharashtra,49,7342285090.940001,48.0,734.23,15.3,16,2082511557.33,16.0,208.25,13.02,65,9424796648.27,942.48,Maharashtra
3,Bihar,40,5999462522.87,40.0,599.95,15.0,15,2514024157.4700003,15.0,251.4,16.76,55,8513486680.34,851.35,Bihar
4,Tamil Nadu,39,6113560355.83,39.0,611.36,15.68,18,2263550547.74,18.0,226.36,12.58,57,8377110903.57,837.71,Tamil Nadu
5,West Bengal,42,6391333259.29,42.0,639.13,15.22,11,1446162892.0,11.0,144.62,13.15,53,7837496151.29,783.75,West Bengal
6,Karnataka,28,4272103415.33,28.0,427.21,15.26,13,1917455968.0,13.0,191.75,14.75,41,6189559383.33,618.96,Karnataka
7,Madhya Pradesh,29,4430471672.8,29.0,443.05,15.28,9,1397746435.57,9.0,139.77,15.53,38,5828218108.37,582.82,Madhya Pradesh
8,Andhra Pradesh,25,4047877732.08,25.0,404.79,16.19,12,1497394969.12,12.0,149.74,12.48,37,5545272701.2,554.53,Andhra Pradesh
9,Kerala,20,3072391565.77,20.0,307.24,15.36,11,2131439062.11,11.0,213.14,19.38,31,5203830627.88,520.38,Kerala
10,Rajasthan,25,3767573544.82,25.0,376.76,15.07,10,1372255828.44,10.0,137.23,13.72,35,5139829373.26,513.98,Rajasthan
11,Gujarat,26,3846967459.47,26.0,384.7,14.8,8,1151500000.0,8.0,115.15,14.39,34,4998467459.47,499.85,Gujarat
12,Odisha,21,3288850789.98,21.0,328.89,15.66,8,1147776592.73,8.0,114.78,14.35,29,4436627382.71,443.66,Odisha
13,Telangana,17,2896494722.3,17.0,289.65,17.04,6,980017044.22,6.0,98.0,16.33,23,3876511766.520001,387.65,Telangana
14,Punjab,12,1780626330.54,12.0,178.06,14.84,7,1356919670.91,7.0,135.69,19.38,19,3137546001.45,313.75,Punjab
15,Jharkhand,14,2114316383.35,14.0,211.43,15.1,4,817281611.5799999,4.0,81.73,20.43,18,2931597994.9300003,293.16,Jharkhand
16,Assam,14,2010300157.11,14.0,201.03,14.36,7,784127914.22,7.0,78.41,11.2,21,2794428071.33,279.44,Assam
17,Chhattisgarh,11,1671719691.53,11.0,167.17,15.2,5,786792289.86,5.0,78.68,15.74,16,2458511981.39,245.85,Chhattisgarh
18,Haryana,10,1578454264.0,10.0,157.85,15.78,5,539000000.0,5.0,53.9,10.78,15,2117454264.0,211.75,Haryana
19,Delhi,7,1117190622.0,7.0,111.72,15.96,4,565803496.11,4.0,56.58,14.15,11,1682994118.11,168.3,Delhi
20,Uttarakhand,5,735000000.0,5.0,73.5,14.7,3,569873590.51,3.0,56.99,19.0,8,1304873590.51,130.49,Uttarakhand
21,Jammu And Kashmir,5,735000000.0,5.0,73.5,14.7,5,490063957.11,5.0,49.01,9.8,10,1225063957.11,122.51,Jammu And Kashmir
22,Himachal Pradesh,4,629523041.33,4.0,62.95,15.74,3,403863957.11,3.0,40.39,13.46,7,1033386998.44,103.34,Himachal Pradesh
23,Puducherry,1,209368972.11,1.0,20.94,20.94,1,292881856.49,1.0,29.29,29.29,2,502250828.6,50.23,Puducherry
24,Goa,2,294000000.0,2.0,29.4,14.7,1,171500000.0,1.0,17.15,17.15,3,465500000.0,46.55,Goa
25,Tripura,2,294000000.0,2.0,29.4,14.7,1,122500000.0,1.0,12.25,12.25,3,416500000.0,41.65,Tripura
26,The Dadra And Nagar Haveli And Daman And Diu,2,392063957.0,2.0,39.21,19.6,0,0.0,0.0,0.0,0.0,2,392063957.0,39.21,The Dadra And Nagar Haveli And Daman And Diu
27,Nagaland,1,147000000.0,1.0,14.7,14.7,1,206563957.11,1.0,20.66,20.66,2,353563957.11,35.36,Nagaland
28,Arunachal Pradesh,2,294000000.0,2.0,29.4,14.7,1,49000000.0,1.0,4.9,4.9,3,343000000.0,34.3,Arunachal Pradesh
29,Manipur,2,294000000.0,2.0,29.4,14.7,1,49000000.0,1.0,4.9,4.9,3,343000000.0,34.3,Manipur
30,Chandigarh,1,178351443.75,1.0,17.84,17.84,1,147000000.0,1.0,14.7,14.7,2,325351443.75,32.54,Chandigarh
31,Sikkim,1,152003923.11,1.0,15.2,15.2,1,150170726.11,1.0,15.02,15.02,2,302174649.22,30.22,Sikkim
32,Meghalaya,2,245000000.0,2.0,24.5,12.25,1,49000000.0,1.0,4.9,4.9,3,294000000.0,29.4,Meghalaya
33,Mizoram,1,147000000.0,1.0,14.7,14.7,1,24500000.0,1.0,2.45,2.45,2,171500000.0,17.15,Mizoram
34,Ladakh,1,161114542.0,1.0,16.11,16.11,0,0.0,0.0,0.0,0.0,1,161114542.0,16.11,Ladakh
35,Lakshadweep,1,153942460.41,1.0,15.39,15.39,0,0.0,0.0,0.0,0.0,1,153942460.41,15.39,Lakshadweep
36,Andaman And Nicobar Islands,1,147000000.0,1.0,14.7,14.7,0,0.0,0.0,0.0,0.0,1,147000000.0,14.7,Andaman And Nicobar Islands
